symbol,price,timestamp
STORJETH,0.00000000,2025-04-29 02:02:03.225999
BNBUSDT,605.44000000,2025-04-29 02:02:03.225999
VENBNB,0.00000000,2025-04-29 02:02:03.225999
YOYOBNB,0.00000000,2025-04-29 02:02:03.225999
POWRBNB,0.00000000,2025-04-29 02:02:03.225999
VENBTC,0.00000000,2025-04-29 02:02:03.225999
VENETH,0.00000000,2025-04-29 02:02:03.225999
KMDBTC,0.00000161,2025-04-29 02:02:03.225999
KMDETH,0.00000000,2025-04-29 02:02:03.225999
NULSBNB,0.00000000,2025-04-29 02:02:03.225999
RCNBTC,0.00000000,2025-04-29 02:02:03.225999
RCNETH,0.00000000,2025-04-29 02:02:03.225999
RCNBNB,0.00000000,2025-04-29 02:02:03.225999
NULSBTC,0.00000030,2025-04-29 02:02:03.225999
NULSETH,0.00000000,2025-04-29 02:02:03.225999
RDNBTC,0.00000000,2025-04-29 02:02:03.225999
RDNETH,0.00000000,2025-04-29 02:02:03.225999
RDNBNB,0.00000000,2025-04-29 02:02:03.225999
XMRBTC,0.00228700,2025-04-29 02:02:03.225999
XMRETH,0.04032000,2025-04-29 02:02:03.225999
DLTBNB,0.00000000,2025-04-29 02:02:03.225999
WTCBNB,0.00000000,2025-04-29 02:02:03.225999
DLTBTC,0.00000000,2025-04-29 02:02:03.225999
DLTETH,0.00000000,2025-04-29 02:02:03.225999
AMBBTC,0.00000010,2025-04-29 02:02:03.225999
AMBETH,0.00000000,2025-04-29 02:02:03.225999
AMBBNB,0.00000000,2025-04-29 02:02:03.225999
BCCETH,0.00000000,2025-04-29 02:02:03.225999
BCCUSDT,0.00000000,2025-04-29 02:02:03.225999
BCCBNB,0.00000000,2025-04-29 02:02:03.225999
BATBTC,0.00000161,2025-04-29 02:02:03.225999
BATETH,0.00010630,2025-04-29 02:02:03.225999
BATBNB,0.00000000,2025-04-29 02:02:03.225999
BCPTBTC,0.00000000,2025-04-29 02:02:03.225999
BCPTETH,0.00000000,2025-04-29 02:02:03.225999
BCPTBNB,0.00000000,2025-04-29 02:02:03.225999
ARNBTC,0.00000000,2025-04-29 02:02:03.225999
ARNETH,0.00000000,2025-04-29 02:02:03.225999
GVTBTC,0.00000000,2025-04-29 02:02:03.225999
GVTETH,0.00000000,2025-04-29 02:02:03.225999
CDTBTC,0.00000000,2025-04-29 02:02:03.225999
CDTETH,0.00000000,2025-04-29 02:02:03.225999
GXSBTC,0.00000000,2025-04-29 02:02:03.225999
GXSETH,0.00000000,2025-04-29 02:02:03.225999
NEOUSDT,6.27000000,2025-04-29 02:02:03.225999
NEOBNB,0.03836000,2025-04-29 02:02:03.225999
POEBTC,0.00000000,2025-04-29 02:02:03.225999
POEETH,0.00000000,2025-04-29 02:02:03.225999
QSPBTC,0.00000000,2025-04-29 02:02:03.225999
QSPETH,0.00000000,2025-04-29 02:02:03.225999
QSPBNB,0.00000000,2025-04-29 02:02:03.225999
BTSBTC,0.00000043,2025-04-29 02:02:03.225999
BTSETH,0.00000000,2025-04-29 02:02:03.225999
BTSBNB,0.00000000,2025-04-29 02:02:03.225999
XZCBTC,0.00000000,2025-04-29 02:02:03.225999
XZCETH,0.00000000,2025-04-29 02:02:03.225999
XZCBNB,0.00000000,2025-04-29 02:02:03.225999
LSKBTC,0.00000574,2025-04-29 02:02:03.225999
LSKETH,0.00033730,2025-04-29 02:02:03.225999
LSKBNB,0.00000000,2025-04-29 02:02:03.225999
TNTBTC,0.00000000,2025-04-29 02:02:03.225999
TNTETH,0.00000000,2025-04-29 02:02:03.225999
FUELBTC,0.00000000,2025-04-29 02:02:03.225999
FUELETH,0.00000000,2025-04-29 02:02:03.225999
MANABTC,0.00000346,2025-04-29 02:02:03.225999
MANAETH,0.00018220,2025-04-29 02:02:03.225999
BCDBTC,0.00000000,2025-04-29 02:02:03.225999
BCDETH,0.00000000,2025-04-29 02:02:03.225999
DGDBTC,0.00000000,2025-04-29 02:02:03.225999
DGDETH,0.00000000,2025-04-29 02:02:03.225999
IOTABNB,0.00071700,2025-04-29 02:02:03.225999
ADXBTC,0.00000103,2025-04-29 02:02:03.225999
ADXETH,0.00005431,2025-04-29 02:02:03.225999
ADXBNB,0.00000000,2025-04-29 02:02:03.225999
ADABTC,0.00000742,2025-04-29 02:02:03.225999
ADAETH,0.00039170,2025-04-29 02:02:03.225999
PPTBTC,0.00000000,2025-04-29 02:02:03.225999
PPTETH,0.00000000,2025-04-29 02:02:03.225999
CMTBTC,0.00000000,2025-04-29 02:02:03.225999
CMTETH,0.00000000,2025-04-29 02:02:03.225999
CMTBNB,0.00000000,2025-04-29 02:02:03.225999
XLMBTC,0.00000299,2025-04-29 02:02:03.225999
XLMETH,0.00015782,2025-04-29 02:02:03.225999
XLMBNB,0.00030360,2025-04-29 02:02:03.225999
CNDBTC,0.00000000,2025-04-29 02:02:03.225999
CNDETH,0.00000000,2025-04-29 02:02:03.225999
CNDBNB,0.00000000,2025-04-29 02:02:03.225999
LENDBTC,0.00000000,2025-04-29 02:02:03.225999
LENDETH,0.00000000,2025-04-29 02:02:03.225999
WABIBTC,0.00000030,2025-04-29 02:02:03.225999
WABIETH,0.00000000,2025-04-29 02:02:03.225999
WABIBNB,0.00000000,2025-04-29 02:02:03.225999
LTCETH,0.04816000,2025-04-29 02:02:03.225999
LTCUSDT,86.39000000,2025-04-29 02:02:03.225999
LTCBNB,0.14310000,2025-04-29 02:02:03.225999
TNBBTC,0.00000000,2025-04-29 02:02:03.225999
TNBETH,0.00000000,2025-04-29 02:02:03.225999
WAVESBTC,0.00001626,2025-04-29 02:02:03.225999
WAVESETH,0.00029800,2025-04-29 02:02:03.225999
WAVESBNB,0.00513000,2025-04-29 02:02:03.225999
GTOBTC,0.00000077,2025-04-29 02:02:03.225999
GTOETH,0.00000000,2025-04-29 02:02:03.225999
GTOBNB,0.00000000,2025-04-29 02:02:03.225999
ICXBTC,0.00000112,2025-04-29 02:02:03.225999
ICXETH,0.00011790,2025-04-29 02:02:03.225999
ICXBNB,0.00000000,2025-04-29 02:02:03.225999
OSTBTC,0.00000000,2025-04-29 02:02:03.225999
OSTETH,0.00000000,2025-04-29 02:02:03.225999
OSTBNB,0.00000000,2025-04-29 02:02:03.225999
ELFBTC,0.00000274,2025-04-29 02:02:03.225999
ELFETH,0.00014330,2025-04-29 02:02:03.225999
AIONBTC,0.00000139,2025-04-29 02:02:03.225999
AIONETH,0.00000000,2025-04-29 02:02:03.225999
AIONBNB,0.00000000,2025-04-29 02:02:03.225999
NEBLBTC,0.00001200,2025-04-29 02:02:03.225999
NEBLBNB,0.00000000,2025-04-29 02:02:03.225999
BRDBTC,0.00000000,2025-04-29 02:02:03.225999
BRDETH,0.00000000,2025-04-29 02:02:03.225999
BRDBNB,0.00000000,2025-04-29 02:02:03.225999
MCOBNB,0.00000000,2025-04-29 02:02:03.225999
EDOBTC,0.00000000,2025-04-29 02:02:03.225999
EDOETH,0.00000000,2025-04-29 02:02:03.225999
WINGSBTC,0.00000000,2025-04-29 02:02:03.225999
WINGSETH,0.00000000,2025-04-29 02:02:03.225999
NAVBTC,0.00000000,2025-04-29 02:02:03.225999
NAVETH,0.00000000,2025-04-29 02:02:03.225999
NAVBNB,0.00000000,2025-04-29 02:02:03.225999
LUNBTC,0.00000000,2025-04-29 02:02:03.225999
LUNETH,0.00000000,2025-04-29 02:02:03.225999
TRIGBTC,0.00000000,2025-04-29 02:02:03.225999
TRIGETH,0.00000000,2025-04-29 02:02:03.225999
TRIGBNB,0.00000000,2025-04-29 02:02:03.225999
APPCBTC,0.00000000,2025-04-29 02:02:03.225999
APPCETH,0.00000000,2025-04-29 02:02:03.225999
APPCBNB,0.00000000,2025-04-29 02:02:03.225999
VIBEBTC,0.00000000,2025-04-29 02:02:03.225999
VIBEETH,0.00000000,2025-04-29 02:02:03.225999
RLCBTC,0.00001319,2025-04-29 02:02:03.225999
RLCETH,0.00069380,2025-04-29 02:02:03.225999
RLCBNB,0.00000000,2025-04-29 02:02:03.225999
INSBTC,0.00000000,2025-04-29 02:02:03.225999
INSETH,0.00000000,2025-04-29 02:02:03.225999
PIVXBTC,0.00000153,2025-04-29 02:02:03.225999
PIVXBNB,0.00000000,2025-04-29 02:02:03.225999
IOSTBTC,0.00000010,2025-04-29 02:02:03.225999
IOSTETH,0.00000372,2025-04-29 02:02:03.225999
CHATBTC,0.00000000,2025-04-29 02:02:03.225999
CHATETH,0.00000000,2025-04-29 02:02:03.225999
STEEMBTC,0.00000161,2025-04-29 02:02:03.225999
STEEMETH,0.00008530,2025-04-29 02:02:03.225999
STEEMBNB,0.00000000,2025-04-29 02:02:03.225999
NANOBTC,0.00000000,2025-04-29 02:02:03.225999
NANOETH,0.00000000,2025-04-29 02:02:03.225999
NANOBNB,0.00000000,2025-04-29 02:02:03.225999
VIABTC,0.00000000,2025-04-29 02:02:03.225999
VIAETH,0.00000000,2025-04-29 02:02:03.225999
VIABNB,0.00000000,2025-04-29 02:02:03.225999
BLZBTC,0.00000060,2025-04-29 02:02:03.225999
BLZETH,0.00004159,2025-04-29 02:02:03.225999
BLZBNB,0.00000000,2025-04-29 02:02:03.225999
AEBTC,0.00000000,2025-04-29 02:02:03.225999
AEETH,0.00000000,2025-04-29 02:02:03.225999
AEBNB,0.00000000,2025-04-29 02:02:03.225999
RPXBTC,0.00000000,2025-04-29 02:02:03.225999
RPXETH,0.00000000,2025-04-29 02:02:03.225999
RPXBNB,0.00000000,2025-04-29 02:02:03.225999
NCASHBTC,0.00000000,2025-04-29 02:02:03.225999
NCASHETH,0.00000000,2025-04-29 02:02:03.225999
NCASHBNB,0.00000000,2025-04-29 02:02:03.225999
POABTC,0.00000000,2025-04-29 02:02:03.225999
POAETH,0.00000000,2025-04-29 02:02:03.225999
POABNB,0.00000000,2025-04-29 02:02:03.225999
ZILBTC,0.00000014,2025-04-29 02:02:03.225999
ZILETH,0.00000730,2025-04-29 02:02:03.225999
ZILBNB,0.00008858,2025-04-29 02:02:03.225999
ONTBTC,0.00000167,2025-04-29 02:02:03.225999
ONTETH,0.00012530,2025-04-29 02:02:03.225999
ONTBNB,0.00000000,2025-04-29 02:02:03.225999
STORMBTC,0.00000000,2025-04-29 02:02:03.225999
STORMETH,0.00000000,2025-04-29 02:02:03.225999
STORMBNB,0.00000000,2025-04-29 02:02:03.225999
QTUMBNB,0.00000000,2025-04-29 02:02:03.225999
QTUMUSDT,2.22100000,2025-04-29 02:02:03.225999
XEMBTC,0.00000192,2025-04-29 02:02:03.225999
XEMETH,0.00000000,2025-04-29 02:02:03.225999
XEMBNB,0.00000000,2025-04-29 02:02:03.225999
WANBTC,0.00000127,2025-04-29 02:02:03.225999
WANETH,0.00009270,2025-04-29 02:02:03.225999
WANBNB,0.00000000,2025-04-29 02:02:03.225999
WPRBTC,0.00000000,2025-04-29 02:02:03.225999
WPRETH,0.00000000,2025-04-29 02:02:03.225999
QLCBTC,0.00000021,2025-04-29 02:02:03.225999
QLCETH,0.00000000,2025-04-29 02:02:03.225999
SYSBTC,0.00000051,2025-04-29 02:02:03.225999
SYSETH,0.00000000,2025-04-29 02:02:03.225999
SYSBNB,0.00000000,2025-04-29 02:02:03.225999
QLCBNB,0.00000000,2025-04-29 02:02:03.225999
GRSBTC,0.00000000,2025-04-29 02:02:03.225999
GRSETH,0.00000000,2025-04-29 02:02:03.225999
ADAUSDT,0.70290000,2025-04-29 02:02:03.225999
ADABNB,0.00116700,2025-04-29 02:02:03.225999
CLOAKBTC,0.00000000,2025-04-29 02:02:03.225999
CLOAKETH,0.00000000,2025-04-29 02:02:03.225999
GNTBTC,0.00000000,2025-04-29 02:02:03.225999
GNTETH,0.00000000,2025-04-29 02:02:03.225999
GNTBNB,0.00000000,2025-04-29 02:02:03.225999
LOOMBTC,0.00000075,2025-04-29 02:02:03.225999
LOOMETH,0.00003231,2025-04-29 02:02:03.225999
LOOMBNB,0.00000000,2025-04-29 02:02:03.225999
XRPUSDT,2.30000000,2025-04-29 02:02:03.225999
BCNBTC,0.00000000,2025-04-29 02:02:03.225999
BCNETH,0.00000000,2025-04-29 02:02:03.225999
BCNBNB,0.00000000,2025-04-29 02:02:03.225999
REPBTC,0.00034130,2025-04-29 02:02:03.225999
REPBNB,0.00000000,2025-04-29 02:02:03.225999
BTCTUSD,95030.52000000,2025-04-29 02:02:03.225999
TUSDBTC,0.00000000,2025-04-29 02:02:03.225999
ETHTUSD,1801.01000000,2025-04-29 02:02:03.225999
TUSDETH,0.00000000,2025-04-29 02:02:03.225999
TUSDBNB,0.00000000,2025-04-29 02:02:03.225999
ZENBTC,0.00009910,2025-04-29 02:02:03.225999
ZENETH,0.00399100,2025-04-29 02:02:03.225999
ZENBNB,0.03290000,2025-04-29 02:02:03.225999
SKYBTC,0.00000000,2025-04-29 02:02:03.225999
SKYETH,0.00000000,2025-04-29 02:02:03.225999
SKYBNB,0.00000000,2025-04-29 02:02:03.225999
EOSUSDT,0.68590000,2025-04-29 02:02:03.225999
EOSBNB,0.00258300,2025-04-29 02:02:03.225999
CVCBTC,0.00000566,2025-04-29 02:02:03.225999
CVCETH,0.00000000,2025-04-29 02:02:03.225999
CVCBNB,0.00000000,2025-04-29 02:02:03.225999
THETABTC,0.00000794,2025-04-29 02:02:03.225999
THETAETH,0.00050170,2025-04-29 02:02:03.225999
THETABNB,0.00273600,2025-04-29 02:02:03.225999
XRPBNB,0.00380070,2025-04-29 02:02:03.225999
TUSDUSDT,0.99840000,2025-04-29 02:02:03.225999
IOTAUSDT,0.22260000,2025-04-29 02:02:03.225999
